ItemName,ItemType,Thick
مرايا معتق - رقم 3,sheet,6
مرايا معتق - رقم 4,box,6
مرايا معتق - رقم 4,sheet,6
مرايا معتق - رقم 5,box,6
مرايا معتق - رقم 5,sheet,6
مرايا معتق - رقم 6,box,6
مرايا معتق - رقم 6,sheet,6
مرايا معتق - رقم 6,sqm,6
مرايا معتق - رقم 7,box,6
مرايا معتق - رقم 7,sheet,6
مشرط ابيض دلتا,sqm,6
مشرط ابيض شفاف,sqm,6
مشرط ابيض,box,6
مشرط ابيض,sheet,6
مشرط ابيض,sqm,6
مشرط اخضر,box,6
مشرط اخضر,sheet,6
مشرط اخضر,sqm,6
مشرط ازرق,sqm,6
مشرط اسود,box,6
مشرط اسود,sheet,6
مشرط اسود,sqm,6
مشرط برونز,box,6
مشرط برونز,sheet,6
مشرط برونز,sqm,6
مشرط عسلي,sqm,6
مغشى ابيض,box,6
مغشى ابيض,sheet,6
مغشى ابيض,sqm,6
مغشى اسيد,box,6
مغشى اسيد,sheet,6
مغشى اسيد,sqm,6
تريبلكس ابيض,box,8.2
تريبلكس ابيض,sheet,8.2
تريبلكس ابيض,sqm,8.2
تريبلكسSilence,box,8.2
تريبلكسSilence,sheet,8.2
تريبلكسSilence,sqm,8.2
LOW-E,box,8
LOW-E,sheet,8
LOW-E,sqm,8
LOW-E N70,box,8
LOW-E N70,sheet,8
LOW-E N70,sqm,8
ابيض جامبو,box,8
ابيض جامبو,sheet,8
ابيض,box,8
ابيض,sheet,8
ابيض,sqm,8
اخضر فاتح,box,8
اخضر فاتح,sheet,8
اخضر فاتح,sqm,8
ازرق فاتح,box,8
ازرق فاتح,sheet,8
ازرق فاتح,sqm,8
اسود,box,8
اسود,sheet,8
اسود,sqm,8
برش ابيض,box,8
برش ابيض,sheet,8
برش ابيض,sqm,8
برونز,box,8
برونز,sheet,8
برونز,sqm,8
تريبلكس LOW-E,box,8
تريبلكس LOW-E,sheet,8
تريبلكس LOW-E,sqm,8
تريبلكس ابيض,box,8
تريبلكس ابيض,sheet,8
تريبلكس ابيض,sqm,8
تريبلكس اخضر,box,8
تريبلكس اخضر,sheet,8
تريبلكس اخضر,sqm,8
تريبلكس اسود,box,8
تريبلكس اسود,sheet,8
تريبلكس اسود,sqm,8
تريبلكس برونز,box,8
تريبلكس برونز,sheet,8
تريبلكس برونز,sqm,8
تريبلكس مغشى,box,8
تريبلكس مغشى,sheet,8
تريبلكس مغشى,sqm,8
عاكس ابيض,box,8
