id,categoryName,subCategory,colorName,designName,itemNumber,,ItemNumberForVarients,itemdescription id
168,Mirror,Silver,زهر,,03111-060-4,,00101-055-4,12
169,Mirror,Silver,ذهبي,,03115-040-4,,00101-055-4,12
170,Mirror,Silver,ذهبي,,03115-050-4,,00101-055-4,12
171,Mirror,Extra Clear,كريستال,,03312-060-0,,00101-055-4,12
172,Mirror,Antique,معتق رقم 1,,03401-040-0,,00101-055-4,12
173,Mirror,Antique,معتق رقم 1,,03401-060-0,,00101-055-4,12
174,Mirror,Antique,معتق رقم 2,,03402-060-0,,00101-055-4,12
175,Mirror,Antique,معتق رقم 3,,03403-060-0,,00101-055-4,12
176,Mirror,Antique,,معتق رقم 4,03404-060-0,,00101-055-4,12
177,Mirror,Antique,,معتق رقم 5,03405-060-0,,00101-055-4,12
178,Mirror,Antique,,معتق رقم 6,03406-060-0,,00101-055-4,12
179,Mirror,Antique,,معتق رقم 7,03407-060-0,,00101-055-4,12
180,Laminated,Normal,ابيض,,04101-060-4,,00101-055-4,12
181,Laminated,Normal,ابيض,,04101-062-4,,00101-055-4,12
182,Laminated,Normal,ابيض,,04101-080-4,,00101-055-4,12
183,Laminated,Normal,ابيض,,04101-082-4,,00101-055-4,12
184,Laminated,Normal,ابيض,,04101-100-4,,00101-055-4,12
185,Laminated,Normal,ابيض,,04101-102-4,,00101-055-4,12
186,Laminated,Laminated Jumbo,ابيض,,04101-102-9,,00101-055-4,12
187,Laminated,Normal,ابيض,,04101-120-4,,00101-055-4,12
188,Laminated,Normal,ابيض,,04101-122-4,,00101-055-4,12
189,Laminated,Normal,ابيض,,04101-162-4,,00101-055-4,12
190,Laminated,Normal,اسود,,04102-060-4,,00101-055-4,12
191,Laminated,Normal,اسود,,04102-080-4,,00101-055-4,12
192,Laminated,Normal,برونز,,04103-060-4,,00101-055-4,12
193,Laminated,Normal,برونز,,04103-080-4,,00101-055-4,12
194,Laminated,Normal,برونز,,04103-100-4,,00101-055-4,12
195,Laminated,Normal,برونز,,04103-120-4,,00101-055-4,12
196,Laminated,Normal,اخضر,,04104-060-4,,00101-055-4,12
197,Laminated,Normal,اخضر,,04104-080-4,,00101-055-4,12
198,Laminated,Normal,مغشى,,04110-060-4,,00101-055-4,12
199,Laminated,Normal,مغشى,,04110-080-4,,00101-055-4,12
200,Laminated,Normal,مغشى,,04110-100-4,,00101-055-4,12
201,Laminated,Normal,مغشى,,04110-120-4,,00101-055-4,12
202,Laminated,Normal,مغشى,,04110-162-4,,00101-055-4,12
203,Laminated,Laminated Low E,ابيض,,04201-080-0,,00101-055-4,12
204,Laminated,Laminated Acoustic,ابيض,,04301-062-0,,00101-055-4,12
205,Laminated,Laminated Acoustic,ابيض,,04301-082-0,,00101-055-4,12
206,Laminated,Laminated Acoustic,ابيض,,04301-102-0,,00101-055-4,12
207,Laminated,Laminated Acoustic,ابيض,,04301-122-0,,00101-055-4,12
208,Extra Clear,Extra Clear,كريستال,,05212-040-0,,00101-055-4,12
209,Extra Clear,Extra Clear,كريستال,,05212-060-0,,00101-055-4,12
210,Extra Clear,Extra Clear - 244,كريستال,,05212-060-5,,00101-055-4,12
211,Extra Clear,Extra Clear,كريستال,,05212-080-0,,00101-055-4,12
212,Extra Clear,Extra Clear - 244,كريستال,,05212-080-5,,00101-055-4,12
213,Extra Clear,Extra Clear,كريستال,,05212-100-0,,00101-055-4,12
214,Extra Clear,Extra Clear - 244,كريستال,,05212-100-5,,00101-055-4,12
215,Extra Clear,Extra Clear,كريستال,,05212-120-0,,00101-055-4,12
216,Extra Clear,Extra Clear - 244,كريستال,,05212-120-5,,00101-055-4,12
217,Extra Clear,Extra Clear,كريستال,,05212-150-0,,00101-055-4,12
218,Extra Clear,Extra Clear - Jumbo,كريستال,,05212-150-9,,00101-055-4,12
219,Extra Clear,Extra Clear,كريستال,,05212-190-0,,00101-055-4,12
220,Decorative,Painted,اسود,,06102-040-4,,00101-055-4,12
221,Decorative,Painted,اسود,,06102-060-4,,00101-055-4,12
222,Decorative,Painted,كريستال ابيض,,06112-040-4,,00101-055-4,12
223,Decorative,Painted,كريستال ابيض,,06112-060-4,,00101-055-4,12
224,Decorative,Colored,اخضر,,06204-030-0,,00101-055-4,12
225,Decorative,Colored,ازرق,,06206-030-0,,00101-055-4,12
226,Decorative,Colored,عسلي,,06213-030-0,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
,,,,,,,00101-055-4,12
