categoryName,subCategory,colorName,designName,itemNumber
Reflective,Undefined for category,Bronze,,01103-050-4
Reflective,Undefined for category,Bronze,,01103-053-4
Reflective,Undefined for category,Bronze,,01103-055-4
Reflective,Undefined for category,Bronze,,01103-060-4
Reflective,Undefined for category,Bronze,,01103-080-4
Reflective,Undefined for category,Bronze,,01103-100-4
Reflective,Undefined for category,Green,,01104-055-4
Reflective,Undefined for category,Green,,01104-060-4
Reflective,Undefined for category,Green,,01104-080-4
Reflective,Undefined for category,Dark Green,,01105-040-4
Reflective,Undefined for category,Dark Green,,01105-050-4
Reflective,Undefined for category,Dark Green,,01105-053-4
Reflective,Undefined for category,Dark Green,,01105-055-4
Reflective,Undefined for category,Blue,,01106-055-4
Reflective,Undefined for category,Blue,,01106-060-4
Reflective,Undefined for category,Blue,,01106-080-4
Reflective,Undefined for category,Dark Blue,,01107-050-4
Reflective,Undefined for category,Dark Blue,,01107-053-4
Reflective,Undefined for category,Dark Blue,,01107-055-4
Reflective,Undefined for category,Dark Blue,,01107-060-4
Reflective,Undefined for category,Pink,,01111-060-4
Reflective,Undefined for category,Silver,,01114-060-4
Reflective,Low E,Clear,,01201-060-0
Reflective,Undefined for category,Clear,,01201-060-1
Reflective,Undefined for category,Clear,,01201-060-1
Reflective,Undefined for category,Clear,,01201-060-1
Reflective,Low E,Clear,,01201-080-0
Reflective,Undefined for category,Clear,,01201-080-1
Reflective,Undefined for category,Clear,,01201-080-1
Reflective,Undefined for category,Clear,,01201-100-1
Reflective,Undefined for category,Clear,,01201-100-1
Translucent,Undefined for category,Clear,,02101-055-4
Translucent,Undefined for category,Clear,,02101-060-4
Translucent,Undefined for category,Clear,,02101-060-5
Translucent,Undefined for category,Clear,,02101-060-6
Translucent,Undefined for category,Clear,,02101-060-7
Translucent,Undefined for category,Grey,,02102-060-4
Translucent,Undefined for category,Bronze,,02103-060-4
Translucent,Undefined for category,Green,,02104-060-4
Translucent,Undefined for category,Blue,,02106-060-4
Translucent,Undefined for category,Amber,,02113-060-4
Translucent,Nashiji,Clear,,02201-040-0
Translucent,Nashiji,Clear,,02201-055-0
Translucent,Nashiji,Clear,,02201-080-0
Translucent,Nashiji,Clear,,02201-100-0
Translucent,Nashiji,Grey,,02202-050-0
Translucent,Nashiji,Grey,,02202-053-0
Translucent,Nashiji,Grey,,02202-055-0
Translucent,Nashiji,Bronze,,02203-055-0
Translucent,Nashiji,Dark Green,,02205-055-0
Translucent,Acid Etched,Opaque,,02310-040-0
Translucent,Acid Etched,Opaque,,02310-060-0
Translucent,Acid Etched,Opaque,,02310-080-0
Translucent,Acid Etched,Opaque,,02310-100-0
Translucent,Acid Etched,Opaque,,02310-120-0
Translucent,Sand Blasted,Opaque,,02410-030-0
Translucent,Sand Blasted,Opaque,,02410-040-0
Translucent,Sand Blasted,Opaque,,02410-050-0
Translucent,Sand Blasted,Opaque,,02410-060-0
Translucent,Undefined for category,Clear,,02501-040-4
Mirror,Undefined for category,Clear,,03101-030-4
Mirror,Undefined for category,Clear,,03101-030-6
Mirror,Mirror Silver,Clear,,03101-040-0
Mirror,Undefined for category,Clear,,03101-040-4
Mirror,Undefined for category,Clear,,03101-040-6
Mirror,Undefined for category,Clear,,03101-050-4
Mirror,Undefined for category,Clear,,03101-050-6
Mirror,Undefined for category,Clear,,03101-060-4
Mirror,Undefined for category,Clear,,03101-080-4
Mirror,Undefined for category,Grey,,03102-040-4
Mirror,Undefined for category,Grey,,03102-050-4
Mirror,Undefined for category,Grey,,03102-060-4
Mirror,Undefined for category,Bronze,,03103-040-4
Mirror,Undefined for category,Bronze,,03103-050-4
Mirror,Undefined for category,Bronze,,03103-060-4
Mirror,Undefined for category,Green,,03104-050-4
Mirror,Undefined for category,Green,,03104-060-4
Mirror,Undefined for category,Blue,,03106-040-4
Mirror,Undefined for category,Blue,,03106-050-4
Mirror,Undefined for category,Pink,,03111-040-4
Mirror,Undefined for category,Pink,,03111-050-4
Mirror,Undefined for category,Pink,,03111-060-4
Mirror,Undefined for category,Gold,,03115-040-4
Mirror,Undefined for category,Gold,,03115-050-4
Mirror,Mirror Extra Clear,Extra Clear,,03312-060-0
Mirror,Mirror Extra Clear,Extra Clear,,03312-060-0
Mirror,Mirror Antique,Clear,,03401-040-0
Mirror,Mirror Antique,Clear,,03401-060-0
Mirror,Mirror Antique,Grey,,03402-060-0
Mirror,Mirror Antique,Bronze,,03403-060-0
Mirror,Mirror Antique,Green,,03404-060-0
Mirror,Mirror Antique,Dark Green,,03405-060-0
Mirror,Mirror Antique,Blue,,03406-060-0
Mirror,Mirror Antique,Dark Blue,,03407-060-0
Laminated,Undefined for category,Clear,,04101-060-4
Laminated,Undefined for category,Clear,,04101-062-4
Laminated,Undefined for category,Clear,,04101-080-4
Laminated,Undefined for category,Clear,,04101-082-4
Laminated,Undefined for category,Clear,,04101-100-4
Laminated,Undefined for category,Clear,,04101-102-4
Laminated,Undefined for category,Clear,,04101-102-9
Laminated,Undefined for category,Clear,,04101-120-4
Laminated,Undefined for category,Clear,,04101-122-4
Laminated,Undefined for category,Clear,,04101-162-4
Laminated,Undefined for category,Grey,,04102-060-4
Laminated,Undefined for category,Grey,,04102-080-4
Laminated,Undefined for category,Bronze,,04103-060-4
Laminated,Undefined for category,Bronze,,04103-080-4
Laminated,Undefined for category,Bronze,,04103-100-4
Laminated,Undefined for category,Bronze,,04103-120-4
Laminated,Undefined for category,Green,,04104-060-4
Laminated,Undefined for category,Green,,04104-080-4
Laminated,Undefined for category,Opaque,,04110-060-4
Laminated,Undefined for category,Opaque,,04110-080-4
Laminated,Undefined for category,Opaque,,04110-100-4
Laminated,Undefined for category,Opaque,,04110-120-4
Laminated,Undefined for category,Opaque,,04110-162-4
Laminated,Laminated Low E,Clear,,04201-080-0
Laminated,Laminated Acoustic,Clear,,04301-062-0
Laminated,Laminated Acoustic,Clear,,04301-082-0
Laminated,Laminated Acoustic,Clear,,04301-102-0
Laminated,Laminated Acoustic,Clear,,04301-122-0
Extra Clear,Undefined for category,Extra Clear,,05212-040-0
Extra Clear,Undefined for category,Extra Clear,,05212-060-0
Extra Clear,Undefined for category,Extra Clear,,05212-060-5
Extra Clear,Undefined for category,Extra Clear,,05212-080-0
Extra Clear,Undefined for category,Extra Clear,,05212-080-5
Extra Clear,Undefined for category,Extra Clear,,05212-100-0
Extra Clear,Undefined for category,Extra Clear,,05212-100-5
Extra Clear,Undefined for category,Extra Clear,,05212-120-0
Extra Clear,Undefined for category,Extra Clear,,05212-120-5
Extra Clear,Undefined for category,Extra Clear,,05212-150-0
Extra Clear,Undefined for category,Extra Clear,,05212-150-9
Extra Clear,Undefined for category,Extra Clear,,05212-190-0
Decorative,Undefined for category,Grey,,06102-040-4
Decorative,Undefined for category,Grey,,06102-060-4
Decorative,Undefined for category,Extra Clear,,06112-040-4
Decorative,Undefined for category,Extra Clear,,06112-060-4
Decorative,Colored Glass,Green,,06204-030-0
Decorative,Colored Glass,Blue,,06206-030-0
Decorative,Colored Glass,Amber,,06213-030-0
Figured Glass,Figured Normal,Clear,,07101-035-0
Figured Glass,Figured Normal,Clear,,07101-035-0
Figured Glass,Figured Normal,Clear,,07101-040-0
Figured Glass,Figured Normal,Grey,,07102-035-0
Figured Glass,Figured Normal,Grey,,07102-035-0
Figured Glass,Figured Normal,Grey,,07102-040-0
Figured Glass,Figured Normal,Bronze,,07103-035-0
Figured Glass,Figured Normal,Bronze,,07103-040-0
Figured Glass,Figured Normal,Green,,07104-040-0
Figured Glass,Figured Normal,Dark Green,,07105-040-0
Figured Glass,Figured Normal,Blue,,07106-040-0
Figured Glass,Figured Normal,Blue,,07106-050-0
Figured Glass,Figured Normal,Dark Blue,,07107-040-0
Figured Glass,Figured Normal,Blue-Green,,07108-040-0
Figured Glass,Figured Normal,Dark Grey,,07109-040-0
Figured Glass,Figured Normal,Opaque,,07110-050-0
Figured Glass,Figured Normal,Pink,,07111-040-0
Figured Glass,Figured Normal,Other,,07117-050-0
Figured Glass,Figured Normal,Unknown,,07120-040-0
Figured Glass,Figured Normal,Unknown,,07121-040-0
Figured Glass,Undefined for category,Grey,,07202-050-0
Figured Glass,Undefined for category,Clear,,07301-035-0
Figured Glass,Undefined for category,Clear,,07301-040-0
Figured Glass,Undefined for category,Grey,,07302-030-0
Figured Glass,Undefined for category,Grey,,07302-040-0
Figured Glass,Undefined for category,Green,,07304-040-0
Figured Glass,Undefined for category,Dark Green,,07305-040-0
Figured Glass,Undefined for category,Opaque,,07310-050-0
Figured Glass,Undefined for category,Pink,,07311-040-0
Figured Glass,Undefined for category,Pink,,07511-040-0
Figured Glass,Undefined for category,Pink,,07711-040-0
Figured Glass,Undefined for category,Pink,,07811-040-0
Figured Glass,Undefined for category,Pink,,07911-040-0
Figured Acid,Figured Acid,Clear,,08101-040-0
Figured Acid,Figured Acid,Dark Green,,08105-040-0
Figured Acid,Figured Acid,Blue,,08106-040-0
Figured Acid,Figured Acid,Blue,,08106-050-0
Figured Acid,Figured Acid,Opaque,,08110-050-0
Figured Acid,Figured Acid,Extra Clear,,08112-040-0
Figured Acid,Figured Acid,Amber,,08113-040-0
Figured Acid,Figured Acid,Silver,,08114-040-0
Figured Acid,Figured Acid,Gold,,08115-040-0
Figured Acid,Figured Acid,Violet,,08116-040-0
Figured Acid,Figured Acid,Other,,08117-040-0
Figured Acid,Figured Acid,Other,,08117-050-0
Figured Acid,Figured Acid,Unknown,,08118-040-0
Figured Acid,Figured Acid,Unknown,,08119-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Clear,,08301-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Dark Green,,08305-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Blue,,08306-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Opaque,,08310-050-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Extra Clear,,08312-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Amber,,08313-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Silver,,08314-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Gold,,08315-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Violet,,08316-040-0
Figured Acid,Figured Acid Ø¯ÙŠÙƒÙˆØ±,Unknown,,08318-040-0
Figured Acid,Undefined for category,Clear,,08501-040-0
Figured Acid,Undefined for category,Grey,,08502-040-0
Figured Acid,Undefined for category,Bronze,,08503-040-0
Figured Acid,Undefined for category,Green,,08504-040-0
Figured Acid,Undefined for category,Dark Green,,08505-040-0
Figured Acid,Undefined for category,Blue,,08506-040-0
Figured Acid,Undefined for category,Dark Blue,,08507-040-0
Figured Acid,Undefined for category,Blue-Green,,08508-040-0
Figured Acid,Undefined for category,Dark Grey,,08509-040-0
Figured Acid,Undefined for category,Opaque,,08510-040-0
Figured Acid,Undefined for category,Violet,,08916-040-7
Figured Acid,Undefined for category,Violet,,08916-040-8
Figured Acid,Undefined for category,Violet,,08916-040-9
Figured Acid,Undefined for category,Violet,,08916-040-9
